MAE,Dataset
0.05055,1043_ada_agnostic.csv
0.12605,1048_jEdit_4.csv
0.0475999999999999,1049_pc4.csv
0.0856499999999999,1050_pc3.csv
0.0914,1054_mc2.csv
0.06735,1056_mc1.csv
0.15035,1061_ar4.csv
0.0876,1065_kc3.csv
0.0649,1066_kc1-binary.csv
0.25135,1068_pc1.csv
0.4090999999999999,1069_pc2.csv
0.17525,1071_mw1.csv
0.12465,1073_jEdit_4.csv
0.38785,1075_datatrieve.csv
0.16865,1115_teachingAssistant.csv
0.0,1121_badges2.csv
0.19435,1167_pc1_req.csv
0.0235,11_balance-scale.csv
0.0067,12_mfeat-factors.csv
0.18015,1456_appendicitis.csv
0.26495,1460_banana.csv
0.0053,1462_banknote-authentication.csv
0.0787,1464_blood-transfusion-service-center.csv
0.11505,1465_breast-tissue.csv
0.0,1466_cardiotocography.csv
0.48625,1467_climate-model-simulation-crashes.csv
0.3788499999999999,1473_fertility.csv
0.07985,1475_first-order-theorem-proving.csv
0.0559999999999999,1479_hill-valley.csv
0.1637,1484_lsvt.csv
0.1593,1485_madelon.csv
0.0596999999999999,1487_ozone-level-8hr.csv
0.0868,1488_parkinsons.csv
0.0541,1489_phoneme.csv
0.33135,1490_planning-relax.csv
0.0611,1494_qsar-biodeg.csv
0.0251,1495_qualitative-bankruptcy.csv
0.05835,1496_ringnorm.csv
0.0496999999999999,1497_wall-robot-navigation.csv
0.06975,1498_sa-heart.csv
0.00975,14_mfeat-fourier.csv
0.02125,1501_semeion.csv
0.0,1504_steel-plates-fault.csv
0.44875,1506_thoracic-surgery.csv
0.00925,1507_twonorm.csv
0.03,1508_user-knowledge.csv
0.0135,1510_wdbc.csv
0.0317,1511_wholesale-customers.csv
0.482,1512_heart-long-beach.csv
0.0575,1519_robot-failures-lp4.csv
0.27855,1520_robot-failures-lp5.csv
0.01075,1523_vertebra-column.csv
0.07165,1526_wall-robot-navigation.csv
0.04975,1527_volcanoes-a1.csv
0.0475,1528_volcanoes-a2.csv
0.0415,1529_volcanoes-a3.csv
0.0501,1530_volcanoes-a4.csv
0.0758,1535_volcanoes-b5.csv
0.06995,1538_volcanoes-d1.csv
0.13175,1539_volcanoes-d2.csv
0.0608999999999999,1540_volcanoes-d3.csv
0.1107499999999999,1541_volcanoes-d4.csv
0.19995,1547_autoUniv-au1-1000.csv
0.21265,1559_breast-tissue.csv
0.0711,1565_heart-h.csv
0.089,1566_hill-valley.csv
0.03905,1570_wilt.csv
0.0783,1600_SPECTF.csv
0.01945,16_mfeat-karhunen.csv
0.0103,182_satimage.csv
0.0115,187_wine.csv
0.0065,18_mfeat-morphological.csv
0.01615,20_mfeat-pixel.csv
0.03685,22_mfeat-zernike.csv
0.0902,23_cmc.csv
0.0171,28_optdigits.csv
0.0309,292_Australian.csv
0.01235,294_satellite_image.csv
0.05745,30_page-blocks.csv
0.18875,311_oil_spill.csv
0.01325,312_scene.csv
0.5,316_yeast_ml8.csv
0.11435,329_hayes-roth.csv
0.08545,333_monks-problems-1.csv
0.44155,334_monks-problems-2.csv
0.02555,335_monks-problems-3.csv
0.13065,336_SPECT.csv
0.00885,36_segment.csv
0.01705,375_JapaneseVowels.csv
0.0021,377_synthetic_control.csv
0.07675,37_diabetes.csv
0.0538499999999999,40474_thyroid-allbp.csv
0.06335,40475_thyroid-allhyper.csv
0.1273,40496_LED-display-domain-7digit.csv
0.1117,40733_yeast.csv
0.02415,40877_seeds.csv
0.05305,40_sonar.csv
0.15695,43_haberman.csv
0.02135,44_spambase.csv
0.2239999999999999,450_analcatdata_lawsuit.csv
0.09875,4538_GesturePhaseSegmentationProcessed.csv
0.00315,458_analcatdata_authorship.csv
0.02875,461_analcatdata_creditscore.csv
0.5,463_backache.csv
0.0399,464_prnn_synth.csv
0.2771,48_tae.csv
0.1259,53_heart-statlog.csv
0.0291,54_vehicle.csv
0.0656,59_ionosphere.csv
0.03095,60_waveform-5000.csv
0.00015,61_iris.csv
0.1846,679_rmftsa_sleepdata.csv
0.01515,694_diggle_table_a2.csv
0.0399,AedesQuinx.csv
0.0115,AedesSex.csv
0.00735,anuranCalls.csv
0.00935,ArabicDigit.csv
0.0228,BNG.csv
0.01775,click-prediction.csv
0.1384,cmc.csv
0.0804,covtype_reduced.csv
0.05515,default_credit_card_clients.csv
0.0809,eeg.csv
0.22215,HTRU.csv
0.1118,jm1-processed.csv
0.1074,letter-recognition.csv
0.05035,magic.csv
0.04095,mozilla.csv
0.0188,namao.csv
0.0073,occupancy.csv
0.05835,phoneme.csv
0.02075,spambase.csv
0.0051,winetype.csv
