MAE,Dataset
0.0554,1043_ada_agnostic.csv
0.1334,1048_jEdit_4.csv
0.0475999999999999,1049_pc4.csv
0.2872,1050_pc3.csv
0.0914,1054_mc2.csv
0.12895,1056_mc1.csv
0.17015,1061_ar4.csv
0.37835,1065_kc3.csv
0.0649,1066_kc1-binary.csv
0.263,1068_pc1.csv
0.4756,1069_pc2.csv
0.17335,1071_mw1.csv
0.13055,1073_jEdit_4.csv
0.4543999999999999,1075_datatrieve.csv
0.18635,1115_teachingAssistant.csv
0.0,1121_badges2.csv
0.19435,1167_pc1_req.csv
0.0219499999999999,11_balance-scale.csv
0.0067,12_mfeat-factors.csv
0.18015,1456_appendicitis.csv
0.1765,1460_banana.csv
0.0059,1462_banknote-authentication.csv
0.1442999999999999,1464_blood-transfusion-service-center.csv
0.08945,1465_breast-tissue.csv
0.0,1466_cardiotocography.csv
0.48625,1467_climate-model-simulation-crashes.csv
0.5,1473_fertility.csv
0.0776,1475_first-order-theorem-proving.csv
0.0575,1479_hill-valley.csv
0.1297,1484_lsvt.csv
0.1593,1485_madelon.csv
0.06535,1487_ozone-level-8hr.csv
0.0868,1488_parkinsons.csv
0.0582,1489_phoneme.csv
0.5,1490_planning-relax.csv
0.0648,1494_qsar-biodeg.csv
0.03555,1495_qualitative-bankruptcy.csv
0.0518,1496_ringnorm.csv
0.04955,1497_wall-robot-navigation.csv
0.0739,1498_sa-heart.csv
0.0102,14_mfeat-fourier.csv
0.02165,1501_semeion.csv
0.003,1504_steel-plates-fault.csv
0.44875,1506_thoracic-surgery.csv
0.0087,1507_twonorm.csv
0.0294,1508_user-knowledge.csv
0.01475,1510_wdbc.csv
0.03065,1511_wholesale-customers.csv
0.5,1512_heart-long-beach.csv
0.0575,1519_robot-failures-lp4.csv
0.23575,1520_robot-failures-lp5.csv
0.0137,1523_vertebra-column.csv
0.07165,1526_wall-robot-navigation.csv
0.0494,1527_volcanoes-a1.csv
0.044,1528_volcanoes-a2.csv
0.05135,1529_volcanoes-a3.csv
0.0501,1530_volcanoes-a4.csv
0.0758,1535_volcanoes-b5.csv
0.5,1538_volcanoes-d1.csv
0.5,1539_volcanoes-d2.csv
0.06055,1540_volcanoes-d3.csv
0.1718499999999999,1541_volcanoes-d4.csv
0.276,1547_autoUniv-au1-1000.csv
0.21265,1559_breast-tissue.csv
0.06955,1565_heart-h.csv
0.0917999999999999,1566_hill-valley.csv
0.0391,1570_wilt.csv
0.0783,1600_SPECTF.csv
0.01945,16_mfeat-karhunen.csv
0.0103,182_satimage.csv
0.02535,187_wine.csv
0.00695,18_mfeat-morphological.csv
0.01775,20_mfeat-pixel.csv
0.0371,22_mfeat-zernike.csv
0.10975,23_cmc.csv
0.01725,28_optdigits.csv
0.0378,292_Australian.csv
0.0127,294_satellite_image.csv
0.05745,30_page-blocks.csv
0.05085,311_oil_spill.csv
0.01315,312_scene.csv
0.5,316_yeast_ml8.csv
0.11435,329_hayes-roth.csv
0.09785,333_monks-problems-1.csv
0.28825,334_monks-problems-2.csv
0.02555,335_monks-problems-3.csv
0.1802,336_SPECT.csv
0.0049499999999999,36_segment.csv
0.01775,375_JapaneseVowels.csv
0.0021,377_synthetic_control.csv
0.07675,37_diabetes.csv
0.0538499999999999,40474_thyroid-allbp.csv
0.0631,40475_thyroid-allhyper.csv
0.10175,40496_LED-display-domain-7digit.csv
0.1164,40733_yeast.csv
0.0233,40877_seeds.csv
0.06275,40_sonar.csv
0.2796,43_haberman.csv
0.0217,44_spambase.csv
0.256,450_analcatdata_lawsuit.csv
0.09875,4538_GesturePhaseSegmentationProcessed.csv
0.0035499999999999,458_analcatdata_authorship.csv
0.05205,461_analcatdata_creditscore.csv
0.5,463_backache.csv
0.03615,464_prnn_synth.csv
0.3069,48_tae.csv
0.1422,53_heart-statlog.csv
0.0276,54_vehicle.csv
0.0656,59_ionosphere.csv
0.03095,60_waveform-5000.csv
0.0,61_iris.csv
0.5,679_rmftsa_sleepdata.csv
0.02725,694_diggle_table_a2.csv
0.0399,AedesQuinx.csv
0.0112,AedesSex.csv
0.00795,anuranCalls.csv
0.01085,ArabicDigit.csv
0.023,BNG.csv
0.01845,click-prediction.csv
0.1384,cmc.csv
0.09885,covtype_reduced.csv
0.0664,default_credit_card_clients.csv
0.08165,eeg.csv
0.23315,HTRU.csv
0.1118,jm1-processed.csv
0.1074,letter-recognition.csv
0.0518,magic.csv
0.04095,mozilla.csv
0.01895,namao.csv
0.0073,occupancy.csv
0.06305,phoneme.csv
0.02085,spambase.csv
0.00555,winetype.csv
