MAE,Dataset
0.0507,1043_ada_agnostic.csv
0.36835,1460_banana.csv
0.00645,1462_banknote-authentication.csv
0.02275,1466_cardiotocography.csv
0.07755,1475_first-order-theorem-proving.csv
0.0599,1479_hill-valley.csv
0.14265,1485_madelon.csv
0.0582,1489_phoneme.csv
0.054000000000000006,1494_qsar-biodeg.csv
0.05835,1496_ringnorm.csv
0.049550000000000004,1497_wall-robot-navigation.csv
0.003,1504_steel-plates-fault.csv
0.009250000000000001,1507_twonorm.csv
0.0733,1526_wall-robot-navigation.csv
0.0774,1535_volcanoes-b5.csv
0.06995,1538_volcanoes-d1.csv
0.13175,1539_volcanoes-d2.csv
0.0682,1540_volcanoes-d3.csv
0.11074999999999999,1541_volcanoes-d4.csv
0.09480000000000001,1566_hill-valley.csv
0.0116,182_satimage.csv
0.0902,23_cmc.csv
0.0171,28_optdigits.csv
0.0121,294_satellite_image.csv
0.037149999999999996,30_page-blocks.csv
0.063,312_scene.csv
0.0141,375_JapaneseVowels.csv
0.019000000000000003,40474_thyroid-allbp.csv
0.0546,40475_thyroid-allhyper.csv
0.06375,40733_yeast.csv
0.1117,44_spambase.csv
0.022099999999999998,4538_GesturePhaseSegmentationProcessed.csv
0.09519999999999999,60_waveform-5000.csv
0.033549999999999996,679_rmftsa_sleepdata.csv
0.18460000000000001,AedesQuinx.csv
0.0404,AedesSex.csv
0.01165,anuranCalls.csv
0.00735,ArabicDigit.csv
0.00955,BNG.csv
0.0091,click-prediction.csv
0.40590000000000004,cmc.csv
0.42135,covtype_reduced.csv
0.0228,default_credit_card_clients.csv
0.046900000000000004,eeg.csv
0.038000000000000006,HTRU.csv
0.02795,jm1-processed.csv
0.0175,letter-recognition.csv
0.02435,magic.csv
0.01735,mozilla.csv
0.1179,namao.csv
0.0017500000000000003,occupancy.csv
0.1362,phoneme.csv
0.0777,spambase.csv
0.05465,winetype.csv
0.022000000000000002,2dplanes.csv
0.0809,balloon.csv
0.0232,bank8FM.csv
0.15835000000000002,churn.csv
0.0571,clean2.csv
0.029450000000000004,cpu_act.csv
0.009000000000000001,delta_ailerons.csv
0.04685,electricity-normalized.csv
0.0337,elevators.csv
0.07575,file79b563a1a18.csv
0.03655,fried.csv
0.0308,fri_c2_1000_10.csv
0.01895,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1.csv
0.1118,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1.csv
0.0174,gina_agnostic.csv
0.052450000000000004,kin8nm.csv
0.1074,parity5_plus_5.csv
0.05,pendigits.csv
0.042199999999999994,phpGUrE90.csv
0.0188,phphQEck0.csv
0.0079,phpMD2hR6.csv
0.06175,phpmPOD5A.csv
0.24835000000000002,phpV5QYya.csv
0.0073,pol.csv
0.06305000000000001,pollen.csv
0.005849999999999999,puma32H.csv
0.05005,puma8NH.csv
0.04415,quake.csv
0.02205,space_ga.csv
0.05665,sylva_prior.csv
0.018000000000000002,visualizing_soil.csv
0.1905,wind.csv
0.53525,abalone.csv
0.3329,ailerons.csv
0.0097,BNG_breast-w.csv
0.032,file22f0e4a679.csv
0.5193,file7b5365fa741c.csv
0.12325000000000001,houses.csv
0.04775,kdd_JapaneseVowels.csv
0.38295,MagicTelescope.csv
0.03485,page-blocks.csv
0.02305,php50jXam.csv
0.0121,phplE7q6h.csv
0.0024,phpWfYmlu.csv
0.0298,phpwRjVjk.csv
0.006,phpxijhaP.csv
